"HomeOff","Age","NoKids","Introv","Satisf","Prod"
0,39,1,0.188,5,30.454
0,56,1,0.489,7,35.44
0,39,3,0.452,4,42.472
1,50,1,0.408,8,43.437
0,43,1,0.29,5,34.847
1,63,0,0.636,8,44.887
0,34,2,0.232,5,40.482
0,40,0,0.373,5,22.367
0,36,1,0.293,5,42.672
1,59,1,0.34,7,42.1
0,31,2,0.156,4,36.201
1,44,0,0.441,6,35.812
1,42,0,0.399,6,32.987
0,52,3,0.42,5,56.795
0,37,2,0.34,4,44.059
0,28,0,0.317,4,18.285
1,42,0,0.652,7,40.146
0,31,0,0.468,5,35.54
0,54,1,0.634,8,41.275
0,36,0,0.562,6,33.043
1,52,1,0.669,6,33.802
0,45,4,0.176,4,66.573
0,32,2,0.26,5,52.207
0,61,2,0.203,5,46.319
0,59,6,0.255,5,75.826
1,27,0,0.61,3,20.627
0,59,1,0.356,6,23.276
0,61,3,0.367,7,56.194
0,53,2,0.377,5,35.198
0,61,3,0.114,5,44.66
0,48,2,0.231,3,28.289
0,43,0,0.143,5,27.06
0,50,1,0.287,5,39.505
1,64,0,0.243,8,17.413
0,50,5,0.167,6,72.496
1,53,1,0.556,8,45.51
0,63,1,0.758,6,36.615
1,54,1,0.35,5,28.461
1,60,0,0.222,8,37.898
1,56,0,0.411,7,38.169
0,25,0,0.524,5,23.049
0,55,1,0.622,6,33.087
0,41,1,0.496,3,19.195
0,33,2,0.535,3,44.338
0,36,2,0.31,5,33.868
0,55,0,0.532,6,31.325
0,56,3,0.661,6,53.844
0,44,2,0.196,5,41.747
1,33,0,0.577,5,33.306
0,48,4,0.362,4,58.932
0,28,0,0.187,5,23.313
1,30,0,0.511,5,16.277
0,49,5,0.243,5,64.355
1,60,0,0.533,9,38.427
0,35,3,0.497,5,57.912
1,43,0,0.402,7,38.787
0,37,1,0.544,7,47.087
0,36,2,0.157,3,37.251
0,33,2,0.156,2,31.577
0,59,1,0.399,6,23.978
0,36,0,0.577,5,33.904
0,37,1,0.445,3,34.85
1,47,1,0.406,8,46.757
0,26,0,0.293,4,30.276
0,29,0,0.509,2,25.484
0,41,1,0.393,5,31.35
1,34,0,0.373,4,8.779
0,38,2,0.747,4,43.327
0,33,3,0.649,5,62.642
0,38,1,0.688,7,42.647
0,25,0,0.566,3,18.393
1,33,0,0.665,5,24.967
1,57,0,0.213,6,31.824
0,64,2,0.204,5,31.02
0,50,0,0.297,5,16.792
0,54,0,0.344,5,23.186
0,62,1,0.296,5,31.668
0,26,0,0.373,3,19.821
0,52,2,0.279,6,48.774
1,62,0,0.54,7,31.183
1,37,1,0.66,6,47.631
0,44,3,0.512,5,52.312
0,32,1,0.495,4,43.228
0,28,0,0.227,4,33.591
0,43,0,0.228,5,26.371
0,34,1,0.128,4,25.35
1,62,0,0.482,10,41.239
0,36,2,0.386,4,42.947
0,30,0,0.617,4,24.609
1,33,1,0.359,5,31.511
0,51,2,0.444,6,52.331
1,44,0,0.381,6,31.896
0,37,3,0.278,4,45.915
1,57,0,0.24,8,36.637
0,48,3,0.154,5,56.404
0,39,3,0.267,5,53.705
1,45,0,0.485,7,37.696
0,41,3,0.718,5,55.187
1,30,0,0.515,5,25.116
1,45,1,0.164,5,42.226
1,46,0,0.727,7,30.683
0,43,0,0.156,5,25.062
1,49,0,0.804,7,26.67
0,57,0,0.518,6,24.792
1,33,0,0.447,6,33.629
0,61,2,0.197,6,33.238
0,27,0,0.3,3,21.298
0,51,1,0.353,5,33.861
1,38,1,0.426,7,49.083
0,39,1,0.375,6,53.208
0,27,0,0.362,3,16.299
0,62,2,0.375,7,44.064
0,64,1,0.534,4,29.269
0,42,1,0.312,5,36.391
0,50,2,0.26,6,53.42
1,48,0,0.438,6,25.957
0,27,0,0.488,5,19.499
0,47,2,0.658,5,34.346
0,34,1,0.16,5,31.58
1,27,0,0.222,6,44.953
0,40,1,0.196,4,30.514
0,32,2,0.402,4,40.163
0,25,0,0.318,3,22.537
1,52,1,0.29,8,34.323
0,57,1,0.204,8,41.411
0,49,1,0.626,6,33.034
1,55,0,0.338,7,34.741
0,47,1,0.336,8,46.589
1,63,0,0.417,6,22.454
0,45,0,0.845,5,27.332
0,35,4,0.705,3,50.598
0,32,0,0.642,3,27.662
0,61,0,0.39,6,10.392
0,32,2,0.291,3,42.492
0,33,0,0.33,2,13.18
0,43,2,0.567,6,58.664
0,47,3,0.256,5,48.956
0,28,0,0.287,4,31.759
0,27,0,0.584,4,25.225
1,58,0,0.273,7,25.077
0,49,1,0.488,6,31.259
0,36,2,0.184,5,61.939
0,39,1,0.21,5,29.258
0,49,0,0.293,6,24.736
1,52,1,0.276,7,40.34
0,42,0,0.596,4,10.381
0,58,5,0.252,6,74.953
0,35,1,0.56,5,41.378
0,57,3,0.299,6,54.255
0,59,3,0.244,6,40.4
0,26,0,0.607,2,13.962
1,25,0,0.365,5,37.286
0,39,0,0.277,4,13.188
0,29,0,0.615,5,23.183
0,26,0,0.253,3,15.169
0,40,4,0.141,3,55.428
0,25,0,0.5,2,17.089
0,48,3,0.349,6,48.04
0,62,1,0.588,7,40.248
0,41,2,0.334,5,50.07
0,61,1,0.278,5,42.47
0,41,0,0.291,4,21.327
0,28,0,0.452,3,22.338
1,27,0,0.543,4,32.425
1,40,0,0.419,6,31.157
0,27,0,0.22,4,12.53
1,31,1,0.382,6,56.102
0,41,0,0.305,4,18.009
0,30,0,0.546,4,23.977
0,59,2,0.232,6,43.071
1,39,0,0.208,4,28.17
1,58,0,0.331,6,9.295
0,61,2,0.344,5,40.478
0,32,2,0.323,5,43.812
0,48,2,0.274,5,41.089
1,54,1,0.558,7,46.109
0,39,3,0.386,6,65.667
1,35,0,0.767,6,36.984
0,49,2,0.337,7,49.087
1,52,1,0.504,6,37.572
1,51,1,0.363,6,43.835
1,42,0,0.328,6,33.802
1,54,0,0.429,5,13.776
1,41,0,0.371,4,27.368
0,27,0,0.252,4,24.469
0,28,0,0.333,5,28.846
1,35,0,0.62,7,41.72
0,55,2,0.344,5,42.772
0,36,1,0.206,5,31.892
1,62,0,0.497,7,27.484
0,43,1,0.194,5,40.283
1,39,0,0.162,6,29.817
0,51,1,0.434,6,44.271
0,50,4,0.188,6,63.054
0,33,3,0.291,4,43.234
1,25,0,0.632,5,31.357
0,30,0,0.233,4,23.404
0,64,6,0.347,6,85.23
0,31,4,0.296,4,67.776
0,60,0,0.379,5,20.584
0,61,1,0.374,4,20.763
0,59,2,0.253,7,50.604
1,56,0,0.153,7,27.507
1,46,0,0.554,6,24.936
0,37,0,0.292,5,10.716
1,62,1,0.319,7,27.183
0,41,2,0.193,6,49.008
0,56,1,0.471,5,36.196
0,54,1,0.398,5,37.122
1,31,1,0.692,5,36.491
0,55,3,0.164,6,54.191
0,42,0,0.251,6,26.667
0,46,1,0.414,5,43.95
0,37,2,0.287,4,38.328
1,50,0,0.691,7,29.428
1,36,1,0.313,7,47.589
0,37,1,0.448,5,39.319
1,57,0,0.281,8,40.033
1,37,0,0.671,6,33.762
0,33,0,0.533,4,23.48
0,43,3,0.39,5,50.869
0,35,1,0.317,4,33.935
0,52,2,0.21,5,36.832
1,30,0,0.48,4,27.721
1,29,0,0.478,4,20.53
0,45,2,0.258,5,50.461
0,57,0,0.178,7,38.206
1,48,1,0.737,6,37.251
0,57,0,0.554,6,32.881
0,54,1,0.286,5,32.057
0,47,3,0.237,5,42.458
0,53,0,0.595,5,27.058
1,46,0,0.702,6,32.85
0,35,1,0.637,3,20.331
1,63,0,0.194,8,43.855
1,51,1,0.311,8,44.805
0,54,0,0.452,5,19.694
0,64,2,0.287,7,45.447
1,36,2,0.374,5,38.248
0,62,2,0.292,6,49.202
0,48,1,0.523,5,37.008
1,42,1,0.523,5,41.418
1,56,1,0.51,6,30.521
0,35,0,0.712,3,23.242
1,59,0,0.244,8,47.131
1,28,0,0.347,4,25.42
1,58,0,0.462,8,37.242
1,38,0,0.691,5,27.758
0,62,3,0.51,5,47.41
0,46,2,0.207,5,38.808
1,30,0,0.45,5,29.393
1,37,1,0.243,6,40.258
0,25,0,0.293,3,29.258
0,26,0,0.416,3,23.947
1,50,1,0.631,7,42.139
1,57,0,0.286,6,28.482
0,56,0,0.64,6,10.708
1,32,1,0.373,6,46.298
1,52,0,0.522,7,38.47
1,64,0,0.364,8,32.543
0,37,2,0.34,5,52.802
1,46,0,0.446,6,31.597
0,28,0,0.379,3,19.15
1,59,0,0.27,6,27.925
0,39,2,0.304,5,37.623
1,30,0,0.529,4,26.603
0,31,1,0.953,3,32.369
1,27,0,0.562,6,41.081
1,25,0,0.367,6,38.675
0,28,0,0.363,3,31.312
0,48,1,0.215,5,28.249
1,42,0,0.831,6,38.862
1,27,0,0.372,5,28.272
0,52,1,0.222,5,26.787
0,55,3,0.361,6,51.404
0,32,1,0.285,4,37.553
0,32,0,0.248,3,28.357
0,25,0,0.592,3,15.143
0,57,2,0.235,4,29.974
0,43,2,0.17,5,41.073
0,41,1,0.473,4,28.478
0,58,3,0.715,6,52.082
0,55,4,0.247,6,61.153
0,63,2,0.468,6,38.704
1,41,0,0.391,6,35.28
0,31,0,0.333,6,35.434
0,37,0,0.531,5,36.895
0,44,0,0.215,6,37.849
1,29,0,0.251,5,14.401
0,60,4,0.31,6,64.017
1,30,0,0.14,5,21.525
0,46,2,0.318,6,51.583
0,63,1,0.305,7,41.722
0,55,1,0.149,5,34.725
1,60,1,0.301,6,36.665
1,62,1,0.236,7,33.606
0,39,0,0.694,5,28.31
0,40,0,0.522,4,11.137
1,57,0,0.499,8,40.019
1,30,0,0.187,7,51.21
0,58,1,0.501,7,42.223
1,47,1,0.521,7,49.461
1,44,0,0.358,6,41.45
0,51,0,0.5,5,22.47
0,44,1,0.662,4,41.478
0,61,2,0.362,6,44.749
1,49,0,0.241,7,33.114
1,43,1,0.227,6,35.302
0,27,0,0.406,3,20.046
0,44,1,0.604,3,17.639
0,59,2,0.272,6,50.341
0,59,3,0.52,4,49.453
0,28,0,0.391,4,23.491
0,42,2,0.57,5,38.71
0,26,0,0.377,4,22.332
1,39,0,0.37,6,30.002
0,45,2,0.332,5,46.905
0,43,3,0.394,5,51.885
0,57,2,0.452,6,45.358
0,31,0,0.577,3,23.719
0,48,2,0.474,5,38.286
0,36,0,0.402,5,21.939
0,32,2,0.341,4,35.417
1,53,2,0.588,7,55.291
0,45,1,0.239,5,26.65
0,39,1,0.269,4,35.604
0,62,1,0.53,7,44.292
0,45,3,0.265,5,61.719
0,32,2,0.543,4,46.569
1,25,0,0.426,6,35.545
0,59,6,0.361,5,80.633
1,25,0,0.293,5,23.513
0,45,0,0.237,4,24.728
0,32,0,0.3,3,25.384
0,64,2,0.285,6,43.371
1,38,0,0.669,7,37.744
0,39,0,0.54,6,35.624
0,37,2,0.359,6,53.337
1,26,0,0.36,5,34.83
1,57,1,0.698,7,36.024
0,53,3,0.275,3,34.419
1,60,0,0.6,7,34.535
1,51,0,0.218,4,25.946
0,28,0,0.34,4,16.193
0,27,0,0.328,4,28.836
1,49,1,0.685,7,46.228
1,50,0,0.621,7,40.798
1,29,0,0.403,3,10.716
1,29,0,0.334,4,31.724
0,50,1,0.133,5,26.273
1,63,1,0.355,9,55.233
1,25,0,0.221,4,34.715
0,43,1,0.389,5,33.538
0,38,4,0.22,5,69.766
0,46,3,0.341,5,42.144
1,43,0,0.567,5,31.209
0,60,3,0.386,6,57.141
1,53,1,0.231,6,32.185
0,64,3,0.217,7,59.748
0,32,3,0.133,3,48.896
0,26,0,0.326,5,28.304
0,37,1,0.451,4,35.323
1,38,0,0.444,5,23.7
0,28,0,0.329,4,15.869
0,36,3,0.265,6,57.717
0,29,0,0.276,3,18.722
0,49,4,0.381,5,58.423
1,40,1,0.432,6,32.555
1,26,0,0.199,5,21.778
0,44,3,0.218,6,59.048
0,39,2,0.348,5,48.36
0,61,5,0.252,7,75.816
1,37,0,0.168,7,28.546
0,44,2,0.318,4,36.472
0,63,3,0.237,5,41.159
1,37,0,0.532,5,15.87
0,45,1,0.682,4,21.899
0,53,1,0.365,5,34.416
0,31,1,0.43,5,39.196
1,26,0,0.411,5,28.004
0,42,3,0.201,5,53.669
0,40,2,0.275,5,50.713
0,45,0,0.196,4,12.172
0,54,2,0.585,5,38.175
0,57,1,0.223,5,29.398
0,30,0,0.25,3,21.617
1,26,0,0.519,5,31.253
0,40,1,0.273,6,40.942
0,60,0,0.478,5,18.488
0,33,2,0.128,4,44.95
1,55,0,0.449,8,48.729
0,62,1,0.53,6,31.438
0,43,3,0.36,5,53.002
0,33,1,0.151,4,34.236
0,57,2,0.777,3,25.839
0,41,2,0.333,5,41.45
1,28,0,0.456,4,24.385
0,61,0,0.377,6,21.886
0,45,2,0.134,4,38.851
0,34,0,0.21,3,12.888
0,54,3,0.13,4,45.592
0,47,2,0.317,4,39.613
0,56,2,0.352,4,32.869
1,36,0,0.227,4,17.525
0,58,2,0.441,6,39.936
1,30,0,0.361,5,24.177
0,36,1,0.302,5,32.04
0,61,1,0.672,5,28.202
1,33,0,0.744,7,46.185
0,62,1,0.539,7,34.94
0,59,2,0.481,6,42.589
0,42,1,0.393,5,34.205
0,52,0,0.202,6,27.937
0,32,0,0.223,4,20.303
0,46,2,0.293,6,50.223
1,26,0,0.538,6,41.981
1,40,0,0.421,7,25.533
0,58,2,0.475,6,39.145
0,55,2,0.281,7,50.419
0,36,3,0.141,4,57.065
0,32,1,0.72,4,39.347
0,45,2,0.487,6,47.822
1,58,0,0.294,9,44.704
1,40,0,0.692,6,27.516
1,42,1,0.364,8,57.038
1,36,0,0.804,6,34.761
1,35,0,0.36,5,27.958
1,55,0,0.326,7,6.602
1,25,0,0.48,5,29.031
1,45,0,0.518,6,29.79
0,64,2,0.248,7,47.873
0,35,2,0.37,5,42.976
1,64,1,0.448,7,41.06
1,52,1,0.577,8,48.933
0,35,3,0.28,4,52.118
0,33,0,0.276,5,23.795
0,53,0,0.559,6,32.996
1,28,0,0.622,4,30.976
0,48,0,0.504,5,24.793
1,49,0,0.574,6,31.014
0,34,2,0.272,4,37.738
0,35,4,0.262,5,71.356
0,55,2,0.309,5,36.848
0,52,2,0.331,5,32.804
0,41,3,0.385,4,60.824
0,39,1,0.686,5,31.447
1,38,0,0.333,5,24.067
0,53,2,0.652,6,34.617
0,40,1,0.333,4,35.031
0,50,2,0.214,4,38.753
1,25,0,0.27,5,41.964
1,49,1,0.536,7,38.146
0,45,1,0.255,5,21.635
0,34,1,0.433,5,34.432
0,42,1,0.626,4,19.379
0,53,1,0.346,6,30.956
0,33,0,0.362,5,33.269
1,56,1,0.354,7,45.339
0,42,2,0.469,5,57.798
0,34,0,0.139,6,27.813
0,25,0,0.25,4,22.098
0,35,2,0.469,4,44.527
1,56,1,0.441,7,40.735
1,63,0,0.382,8,32.467
1,60,0,0.786,7,35.736
0,35,0,0.551,5,30.867
0,26,0,0.21,2,15.056
0,27,0,0.32,2,24.282
1,61,0,0.222,9,34.701
0,32,1,0.253,4,34.521
0,44,4,0.376,4,56.617
0,63,1,0.266,7,41.976
0,46,1,0.202,5,32.467
0,32,2,0.146,4,39.159
0,55,1,0.396,5,30.287
0,64,0,0.76,4,13.078
0,64,2,0.222,4,34.196
0,32,1,0.262,4,37.455
0,27,0,0.243,3,19.571
0,56,7,0.253,6,85.573
1,49,1,0.485,6,41.682
0,55,2,0.278,7,51.431
1,64,1,0.468,8,49.039
0,64,1,0.347,6,26.986
0,36,4,0.264,3,53.655
1,25,0,0.18,4,23.546
1,30,0,0.253,3,13.443
0,41,1,0.637,5,25.655
0,47,2,0.277,4,38.734
0,33,2,0.392,3,21.344
1,28,0,0.249,5,40.512
0,43,4,0.29,5,61.796
1,27,0,0.343,6,29.813
1,43,0,0.626,6,34.435
0,26,0,0.189,2,7.032
0,42,2,0.434,4,44.632
1,55,2,0.654,7,47.061
0,32,1,0.15,4,36.697
0,56,2,0.218,6,38.799
0,50,1,0.637,6,34.57
1,32,0,0.469,5,31.238
0,56,0,0.243,5,21.626
1,61,1,0.416,8,44.501
1,63,1,0.295,8,53.144
1,46,0,0.575,5,19.91
0,39,1,0.44,4,29.996
1,51,1,0.518,5,35.291
1,64,0,0.279,5,17.076
0,49,1,0.359,6,38.516
1,55,2,0.323,5,39.385
0,54,2,0.35,6,33.74
0,37,2,0.189,5,44.623
1,55,1,0.212,8,46.936
1,27,0,0.29,5,36.155
0,28,0,0.193,4,24.543
0,56,2,0.37,6,36.026
0,60,2,0.502,3,30.515
0,53,0,0.407,6,27.495
0,30,0,0.468,5,30.736
1,51,0,0.79,6,21.099
1,52,0,0.369,5,19.485
0,26,0,0.613,4,32.55
0,34,1,0.186,5,28.06
1,44,0,0.569,6,34.129
0,40,0,0.25,7,27.683
1,25,0,0.657,4,28.725
0,44,1,0.241,4,33.557
1,58,1,0.159,7,45.031
0,51,2,0.567,4,40.907
0,50,2,0.337,6,44.756
0,64,1,0.268,6,37.089
1,36,1,0.262,4,35.213
1,48,1,0.507,6,41.303
0,32,2,0.611,2,37.146
0,41,1,0.503,4,33.785
0,34,1,0.491,3,38.608
0,61,1,0.49,6,31.802
0,35,1,0.297,5,40.988
1,59,0,0.335,7,39.974
1,36,1,0.39,5,42.188
1,56,1,0.438,6,46.499
0,45,1,0.674,5,35.752
0,53,1,0.359,5,31.349
0,64,2,0.733,7,46.987
0,39,1,0.358,5,41.19
0,44,1,0.184,5,38.376
0,35,3,0.217,4,53.03
1,27,0,0.853,4,25.62
1,48,0,0.479,6,19.079
0,28,0,0.165,3,11.212
1,56,1,0.385,6,35.329
1,43,0,0.278,6,28.08
1,64,1,0.336,7,37.495
1,44,2,0.169,6,44.54
0,57,3,0.385,6,45.191
0,36,4,0.276,3,54.505
0,31,0,0.802,5,37.97
0,62,1,0.116,4,20.526
1,26,0,0.119,5,30.232
1,30,0,0.288,5,37.244
0,56,3,0.521,6,56.646
1,61,1,0.734,8,40.787
0,34,0,0.232,4,27.495
1,48,0,0.289,7,22.049
1,51,0,0.437,6,27.968
0,50,1,0.618,5,29.62
1,51,1,0.671,7,44.871
0,43,1,0.301,5,43.22
0,45,0,0.287,6,31.21
0,56,1,0.713,5,24.677
1,28,0,0.647,5,27.302
1,26,0,0.256,4,24.186
0,62,2,0.193,5,30.306
0,38,2,0.193,2,26.104
0,25,0,0.331,5,24.579
0,41,1,0.3,5,41.975
0,27,0,0.414,3,20.877
0,50,1,0.422,3,26.198
0,56,2,0.631,5,44.233
1,27,0,0.174,7,41.638
0,32,0,0.644,4,26.445
0,35,2,0.219,4,32.857
0,57,1,0.724,6,44.21
0,31,3,0.304,4,48.073
1,59,1,0.411,8,36.201
0,26,0,0.265,5,25.289
1,28,0,0.349,4,14.036
0,43,2,0.295,5,36.158
0,28,0,0.543,3,23.368
1,28,0,0.576,4,23.307
0,46,2,0.307,5,47.94
0,53,2,0.173,6,44.373
0,64,1,0.524,7,40.203
0,31,0,0.468,4,25.89
0,32,0,0.303,4,25.853
0,52,0,0.336,4,15.403
0,34,2,0.169,5,46.86
0,61,1,0.464,7,44.378
1,62,0,0.387,7,22.607
1,57,1,0.56,7,48.45
0,28,0,0.1,3,22.587
0,25,0,0.416,3,25.87
0,47,3,0.486,5,50.728
1,57,0,0.559,7,18.311
0,49,0,0.362,5,28.778
1,63,0,0.196,7,27.565
0,43,3,0.257,3,29.29
0,28,0,0.172,3,23.908
0,42,0,0.716,6,24.504
1,25,0,0.531,4,30.646
0,55,3,0.547,4,44.707
1,62,1,0.276,8,43.151
0,30,0,0.349,3,17.709
1,26,0,0.7,4,23.046
0,37,4,0.141,5,67.608
1,31,0,0.255,6,33.816
1,44,1,0.365,7,48.538
0,41,1,0.213,4,27.333
0,31,1,0.345,5,33.656
0,62,2,0.646,7,52.741
0,60,0,0.29,7,31.58
1,46,1,0.358,7,43.821
0,35,2,0.242,3,25.112
0,53,0,0.536,5,24.984
0,30,0,0.237,3,16.057
0,47,1,0.274,5,31.95
0,27,0,0.271,3,18.823
0,32,2,0.39,3,44.011
0,38,0,0.37,5,25.564
0,38,2,0.32,7,49.036
0,35,2,0.342,3,34.712
0,64,5,0.593,5,63.248
1,37,0,0.347,5,29.948
0,47,1,0.44,5,41.039
1,48,1,0.527,7,37.847
1,44,0,0.825,7,33.595
1,28,0,0.252,4,19.06
0,35,4,0.188,4,52.343
0,43,0,0.291,5,25.422
0,58,3,0.312,7,61.383
0,25,0,0.394,4,23.36
0,51,2,0.315,6,47.324
1,57,1,0.486,7,41.296
0,46,2,0.518,4,33.419
1,26,0,0.467,5,34.284
1,59,1,0.423,6,21.953
0,62,1,0.447,5,26.484
0,43,4,0.311,5,63.741
0,46,0,0.705,5,22.058
0,63,1,0.129,6,38.274
1,53,1,0.226,6,36.879
0,39,5,0.152,4,63.505
1,37,0,0.545,5,25.962
0,47,0,0.287,5,14.102
1,51,1,0.354,6,32.055
0,39,2,0.531,6,64.116
0,28,0,0.445,3,20.839
0,49,4,0.581,5,59.545
1,57,1,0.325,6,34.992
0,42,4,0.43,4,50.531
0,34,1,0.261,5,35.167
0,61,1,0.155,5,29.068
1,39,0,0.208,6,23.112
0,45,0,0.178,5,23.677
1,56,0,0.352,6,23.188
0,32,2,0.46,4,47.44
0,60,1,0.472,6,39.723
1,42,1,0.581,4,26.513
0,37,1,0.121,4,43.146
0,49,2,0.361,6,56.506
0,63,2,0.139,6,58.707
0,47,1,0.179,5,31.972
0,43,0,0.292,5,25.267
1,42,1,0.323,6,37.798
1,30,0,0.21,6,34.576
0,63,2,0.236,7,41.227
0,29,0,0.325,4,23.486
1,38,0,0.44,6,34.039
1,26,0,0.422,6,31.438
0,59,3,0.276,5,50.946
0,56,0,0.767,5,21.254
1,40,1,0.457,5,26.094
0,42,1,0.462,5,33.016
1,57,0,0.417,5,18.608
0,58,2,0.366,5,34.959
0,64,1,0.266,6,50.677
1,43,0,0.375,6,34.407
0,55,1,0.211,7,44.557
1,64,0,0.635,7,27.471
0,59,2,0.498,5,37.483
0,42,2,0.508,4,22.018
0,44,1,0.323,4,35.187
1,32,0,0.304,5,33.971
1,62,0,0.511,7,31.188
0,31,3,0.366,4,48.507
0,62,1,0.277,7,49.965
1,58,0,0.543,7,34.07
1,60,1,0.564,8,40.569
1,29,0,0.692,4,23.545
0,52,3,0.147,4,40.816
0,57,1,0.502,6,40.48
0,46,4,0.166,4,52.414
0,45,4,0.242,6,72.1
0,58,4,0.392,6,61.12
0,27,0,0.472,4,28.212
1,42,0,0.431,5,20.835
1,58,0,0.763,7,25.603
0,48,4,0.211,5,49.962
1,53,0,0.348,6,26.492
1,48,0,0.336,6,27.199
0,54,5,0.516,6,78.928
0,35,2,0.594,4,42.735
0,55,1,0.335,6,30.645
0,45,2,0.271,5,50.377
0,37,4,0.208,3,54.772
1,42,0,0.656,7,27.547
0,47,3,0.258,4,52.061
0,28,0,0.416,4,13.544
0,39,2,0.461,5,53.962
0,43,2,0.233,5,43.594
0,51,1,0.315,6,31.966
0,47,1,0.293,4,33.462
0,31,1,0.384,4,29.697
1,56,1,0.319,7,36.14
0,26,0,0.505,4,20.957
0,56,2,0.393,5,38.285
1,43,0,0.753,5,39.218
1,32,0,0.738,5,30.822
0,41,1,0.515,5,30.583
1,63,0,0.238,8,45.179
1,42,0,0.645,7,37.817
0,36,1,0.381,5,36.302
0,35,3,0.125,3,50.083
0,37,2,0.106,5,44.66
0,32,1,0.586,3,18.425
0,42,3,0.301,5,49.033
0,29,0,0.397,5,35.634
1,34,1,0.433,4,31.127
0,63,5,0.158,6,74.598
1,36,0,0.645,6,34.144
1,62,0,0.375,7,27.976
0,47,2,0.316,5,42.836
1,39,1,0.536,5,28.657
0,33,1,0.325,6,28.097
1,29,0,0.399,5,30.614
0,32,1,0.446,4,37.021
0,39,1,0.38,5,40.884
0,25,0,0.514,4,26.01
0,47,2,0.585,5,38.006
1,57,0,0.355,7,33.245
1,43,0,0.556,6,37.969
0,59,3,0.288,6,58.773
1,38,0,0.171,5,33.802
0,40,0,0.288,5,18.157
0,51,1,0.323,4,32.462
0,37,2,0.219,6,37.324
0,64,2,0.32,8,52.568
0,56,1,0.231,6,39.004
0,35,0,0.473,4,22.236
0,63,2,0.474,6,45.763
1,46,0,0.592,6,30.342
0,52,1,0.326,6,42.583
1,43,0,0.643,5,32.933
0,49,1,0.63,6,45.851
0,64,1,0.419,5,39.963
