Retention,FirstJob,Age,IndustryExperience,FlexibleWork,ExtrinsicReward,EducationLevel,PreConception,Internship,AdvancementOpportunities,JobSatisfaction
7.28,0,36,1,52.48,87284.74,1,1,1,6,7
5.46,0,38,0,47.74,76193.04,2,1,1,2,5
3.64,0,31,0,58.65,76362.3,3,0,0,3,5
9.09,0,51,1,40.18,94672.12,3,1,0,8,9
6.37,0,53,1,29.14,71352.2,4,1,0,9,6
7.28,0,38,0,55.8,89056.8,1,1,0,1,7
4.55,0,39,0,46.36,75937.68,3,0,0,3,6
6.37,0,49,1,31.62,71581.36,4,1,0,9,6
5.46,1,28,0,67.0,78792.0,4,1,1,4,5
3.64,0,57,0,26.66,63824.04,3,0,0,3,5
4.55,0,47,0,38.69,76374.06,3,0,0,3,6
9.09,0,53,1,39.48,96670.73,3,1,0,8,9
6.37,0,40,1,37.8,69854.4,2,1,1,7,6
2.73,0,41,0,36.58,62990.76,1,0,0,1,4
5.46,1,29,0,61.0,74298.0,4,1,1,4,5
6.37,0,52,0,36.96,80720.64,2,1,0,2,6
4.55,0,54,0,31.28,70943.04,4,0,0,4,6
9.09,0,54,1,39.56,98694.29,3,1,0,8,9
5.46,0,53,0,36.19,80558.94,3,0,0,3,7
8.18,0,56,1,32.56,84239.23,2,1,0,7,8
8.18,0,37,1,54.81,93692.21,1,1,0,6,8
7.28,0,52,1,34.56,83026.94,2,1,0,7,7
0.92,1,24,0,48.0,48384.0,4,0,0,4,2
4.55,0,51,0,35.77,76619.34,2,0,0,2,6
7.28,0,38,1,49.6,87077.76,3,1,1,8,7
10.0,0,56,1,39.6,102453.12,4,1,0,9,10
1.83,0,24,0,60.8,61286.4,3,0,0,3,3
5.46,0,27,1,61.32,76490.57,1,1,0,6,5
3.64,0,41,0,41.3,71118.6,3,0,0,3,5
4.55,0,49,0,38.76,79768.08,2,0,0,2,6
5.46,0,27,1,54.75,68295.15,2,1,0,7,5
8.18,0,38,1,50.22,88166.23,4,1,1,9,8
6.37,0,56,0,32.56,76581.12,3,1,0,3,6
8.18,0,49,1,37.74,85435.81,2,1,0,7,8
6.37,0,52,0,34.56,75479.04,3,1,0,3,6
4.55,0,40,0,36.0,60480.0,1,1,1,1,4
9.09,0,53,1,39.48,96670.73,3,1,0,8,9
7.28,0,34,1,52.8,82938.24,1,1,0,6,7
5.46,0,50,0,41.5,87150.0,3,0,0,3,7
3.64,0,48,0,33.28,67092.48,3,0,0,3,5
7.28,0,39,0,54.9,89926.2,3,1,1,3,7
7.28,0,51,0,41.16,88164.72,4,1,0,4,7
6.37,0,57,1,26.66,70206.44,1,1,0,6,6
6.37,0,29,1,57.51,77051.9,3,1,1,8,6
6.37,0,45,0,41.25,77962.5,3,1,0,3,6
5.46,0,36,0,51.2,77414.4,2,1,1,2,5
2.73,1,24,0,48.0,48384.0,2,1,1,2,2
8.18,0,45,1,42.9,89189.1,2,1,0,7,8
6.37,0,28,1,64.8,83825.28,1,1,1,6,6
8.18,0,35,1,58.5,94594.5,3,1,1,8,8
6.37,0,45,1,33.55,69750.45,2,1,0,7,6
5.46,0,51,0,39.2,83966.4,1,0,0,1,7
7.28,0,43,0,48.45,87500.7,1,1,0,1,7
8.18,0,57,0,36.98,88530.12,3,1,0,3,8
1.83,0,22,0,49.92,46126.08,2,1,1,2,1
0.92,0,23,0,54.67,52811.22,2,0,0,2,2
0.92,1,23,0,46.0,44436.0,4,0,0,4,2
5.46,0,26,1,62.16,74666.59,1,1,1,6,5
5.46,0,36,0,51.2,77414.4,1,1,1,1,5
9.09,0,47,1,42.93,93218.2,4,1,0,9,9
4.55,0,27,1,45.26,56457.32,3,1,0,8,4
8.18,0,55,1,33.3,84615.3,4,1,0,9,8
4.55,1,29,0,52.0,63336.0,4,1,1,4,4
5.46,0,28,1,50.4,65197.44,3,1,1,8,5
6.37,0,52,0,41.28,90155.52,4,0,0,4,8
6.37,0,45,0,42.9,81081.0,3,1,0,3,6
9.09,0,48,1,45.24,100324.22,4,1,0,9,9
3.64,1,25,0,56.0,58800.0,2,1,1,2,3
4.55,0,52,0,34.08,74430.72,3,0,0,3,6
6.37,0,39,0,48.19,78935.22,3,1,1,3,6
6.37,0,39,1,43.31,78035.96,2,1,1,7,6
5.46,0,47,0,43.99,86836.26,1,0,0,1,7
4.55,0,55,0,32.85,75883.5,2,0,0,2,6
2.73,0,42,0,37.12,65479.68,1,0,0,1,4
7.28,0,39,1,45.75,82432.35,4,1,1,9,7
4.55,0,54,0,33.58,76159.44,4,0,0,4,6
3.64,0,41,0,42.48,73150.56,1,0,0,1,5
5.46,0,41,0,49.56,85342.32,3,0,0,3,7
7.28,0,53,1,30.55,74804.73,2,1,0,7,7
5.46,0,44,0,48.72,90034.56,4,0,0,4,7
5.46,0,26,1,57.72,69333.26,4,1,1,9,5
5.46,0,47,0,34.45,68004.3,4,1,0,4,5
5.46,0,45,0,47.85,90436.5,4,0,0,4,7
6.37,0,55,0,39.15,90436.5,3,0,0,3,8
4.55,0,32,0,59.84,80424.96,3,0,0,3,6
1.83,0,31,0,46.92,61089.84,2,0,0,2,3
5.46,1,26,0,69.0,75348.0,4,1,1,4,5
9.09,0,58,1,36.54,97912.58,3,1,0,8,9
5.46,0,26,1,59.2,71111.04,3,1,1,8,5
4.55,0,44,0,41.44,76581.12,1,0,0,1,6
3.64,0,40,0,44.4,74592.0,1,0,0,1,5
7.28,0,58,0,33.18,80826.48,2,1,0,2,7
5.46,0,50,0,41.0,86100.0,2,0,0,2,7
8.18,0,50,1,38.0,87780.0,2,1,0,7,8
8.18,0,40,1,50.4,93139.2,1,1,1,6,8
3.64,0,43,0,35.91,64853.46,4,0,0,4,5
6.37,0,31,1,53.82,77081.0,3,1,0,8,6
5.46,0,47,0,36.57,72189.18,3,1,0,3,5
4.55,0,55,0,34.2,79002.0,3,0,0,3,6
5.46,0,35,1,42.9,69369.3,2,1,1,7,5
5.46,0,40,0,52.8,88704.0,2,0,0,2,7
3.64,0,31,0,57.27,74565.54,4,0,0,4,5
8.18,0,37,1,52.92,90461.45,4,1,1,9,8
8.18,0,37,1,55.44,94769.14,3,1,1,8,8
8.18,0,58,1,31.08,83281.97,4,1,0,9,8
5.46,0,48,0,44.2,89107.2,3,0,0,3,7
8.18,0,52,1,36.96,88792.7,1,1,0,6,8
7.28,0,32,1,59.84,88467.46,4,1,1,9,7
8.18,0,36,1,56.96,94735.87,1,1,1,6,8
2.73,0,45,0,34.1,64449.0,1,0,0,1,4
4.55,0,28,1,46.08,59609.09,4,1,0,9,4
6.37,0,30,1,55.3,76645.8,1,1,1,6,6
6.37,0,35,0,54.6,80262.0,3,1,1,3,6
5.46,0,37,1,39.06,66769.16,4,1,1,9,5
0.92,0,23,0,53.13,51323.58,3,0,0,3,2
6.37,0,48,0,39.52,79672.32,1,1,0,1,6
8.18,0,56,0,38.28,90034.56,4,1,0,4,8
5.46,0,38,0,44.02,70255.92,1,1,1,1,5
5.46,0,43,0,40.47,73088.82,2,1,0,2,5
8.18,0,51,1,39.2,92363.04,2,1,0,7,8
5.46,0,51,0,32.34,69272.28,2,1,0,2,5
8.18,0,42,1,44.08,85532.83,4,1,0,9,8
8.18,0,34,1,57.42,90195.34,3,1,1,8,8
9.09,0,45,1,48.4,100623.6,4,1,0,9,9
7.28,0,46,1,35.1,74594.52,4,1,0,9,7
9.09,0,55,1,38.25,97193.25,4,1,0,9,9
5.46,0,33,1,42.21,64353.37,3,1,1,8,5
6.37,0,49,0,36.21,74520.18,3,1,0,3,6
8.18,0,49,1,40.8,92363.04,1,1,0,6,8
8.18,0,47,1,40.28,87463.99,2,1,0,7,8
5.46,0,31,1,44.16,63245.95,3,1,0,8,5
5.46,0,58,0,34.02,82872.72,3,0,0,3,7
3.64,1,26,0,55.0,60060.0,2,1,1,2,3
1.83,1,23,0,61.0,58926.0,1,0,0,1,3
7.28,0,38,1,48.98,85989.29,4,1,0,9,7
5.46,0,30,0,61.6,77616.0,1,1,1,1,5
8.18,0,42,1,47.56,92285.42,3,1,0,8,8
3.64,0,32,0,42.84,57576.96,2,1,1,2,3
7.28,0,53,0,36.19,80558.94,4,1,0,4,7
3.64,0,57,0,26.66,63824.04,4,0,0,4,5
4.55,0,48,0,36.4,73382.4,4,0,0,4,6
6.37,0,55,1,28.8,73180.8,2,1,0,7,6
6.37,0,30,1,60.2,83437.2,2,1,0,7,6
6.37,0,32,1,48.28,71377.15,3,1,0,8,6
6.37,0,38,0,49.6,79161.6,1,1,1,1,6
4.55,1,32,0,63.0,84672.0,1,0,0,1,6
9.09,0,58,1,33.6,90034.56,4,1,0,9,9
3.64,1,23,0,65.0,62790.0,4,1,1,4,3
7.28,0,47,1,39.22,85162.31,1,1,0,6,7
8.18,0,48,1,38.48,85333.25,2,1,0,7,8
7.28,0,42,1,41.76,81031.1,3,1,0,8,7
5.46,0,28,1,53.28,68923.01,4,1,0,9,5
5.46,1,28,0,64.0,75264.0,2,1,1,2,5
7.28,0,58,1,27.72,74278.51,4,1,0,9,7
9.09,0,51,1,43.12,101599.34,1,1,0,6,9
10.0,0,47,1,47.7,103575.78,3,1,0,8,10
6.37,0,40,1,41.4,76507.2,1,1,1,6,6
6.37,0,38,1,44.02,77281.51,1,1,1,6,6
5.46,0,34,1,40.92,64277.14,4,1,1,9,5
3.64,0,39,0,43.92,71940.96,3,0,0,3,5
4.55,0,45,0,43.45,82120.5,1,0,0,1,6
6.37,0,30,1,53.2,73735.2,2,1,1,7,6
4.55,0,42,0,45.82,80826.48,3,0,0,3,6
9.09,0,54,1,37.72,94103.86,4,1,0,9,9
9.09,0,45,1,44.55,92619.45,4,1,0,9,9
3.64,1,23,0,65.0,62790.0,2,1,1,2,3
3.64,0,52,0,30.72,67092.48,2,0,0,2,5
2.73,1,29,0,55.0,66990.0,4,0,0,4,4
9.09,0,48,1,45.24,100324.22,1,1,0,6,9
5.46,0,55,0,36.45,84199.5,4,0,0,4,7
6.37,0,33,1,51.59,78654.11,3,1,1,8,6
4.55,0,34,0,44.22,63146.16,3,1,1,3,4
6.37,0,35,1,48.75,78828.75,3,1,1,8,6
10.0,0,58,1,36.96,99038.02,3,1,0,8,10
5.46,0,31,1,47.61,68187.04,1,1,0,6,5
9.09,0,50,1,41.5,95865.0,2,1,0,7,9
5.46,0,39,1,38.43,69243.17,2,1,0,7,5
5.46,0,55,0,27.45,63409.5,3,1,0,3,5
2.73,0,28,0,52.56,61810.56,4,0,0,4,4
5.46,0,34,1,45.54,71534.23,1,1,1,6,5
6.37,0,36,0,56.32,85155.84,1,1,0,1,6
6.37,0,47,1,34.45,74804.73,3,1,0,8,6
3.64,0,22,0,69.42,64144.08,3,1,1,3,3
10.0,0,56,1,38.72,100176.38,4,1,0,9,10
6.37,0,29,1,58.93,78954.41,3,1,0,8,6
2.73,1,22,0,63.0,58212.0,2,1,1,2,2
8.18,0,47,1,40.28,87463.99,4,1,0,9,8
5.46,1,33,0,52.0,72072.0,4,1,1,4,5
7.28,0,39,1,47.58,85729.64,1,1,1,6,7
5.46,0,45,0,44.55,84199.5,3,0,0,3,7
9.09,0,54,1,37.72,94103.86,3,1,0,8,9
2.73,0,36,0,40.96,61931.52,3,0,0,3,4
9.09,0,57,1,36.12,95118.41,2,1,0,7,9
3.64,0,27,1,45.26,56457.32,1,1,1,6,3
3.64,0,57,0,27.95,66912.3,4,0,0,4,5
8.18,0,35,1,57.2,92492.4,1,1,0,6,8
8.18,0,54,1,34.04,84922.99,4,1,0,9,8
3.64,0,41,0,40.12,69086.64,2,0,0,2,5
3.64,1,24,0,67.0,67536.0,1,1,1,1,3
4.55,0,26,1,51.06,61333.27,2,1,0,7,4
10.0,0,48,1,45.76,101477.38,4,1,0,9,10
3.64,0,56,0,27.72,65197.44,4,0,0,4,5
3.64,0,36,0,47.36,71608.32,4,0,0,4,5
4.55,0,36,0,40.96,61931.52,1,1,1,1,4
3.64,0,48,0,34.32,69189.12,1,0,0,1,5
1.83,0,25,0,54.0,56700.0,2,0,0,2,3
1.83,1,25,0,52.0,54600.0,3,0,0,3,3
5.46,0,42,0,51.04,90034.56,2,0,0,2,7
6.37,0,39,0,46.97,76936.86,3,1,0,3,6
8.18,0,46,1,44.28,94103.86,2,1,0,7,8
7.28,0,33,1,58.29,88868.93,2,1,0,7,7
4.55,1,25,0,62.0,65100.0,4,1,1,4,4
8.18,0,35,1,57.85,93543.45,3,1,0,8,8
5.46,0,34,0,53.46,76340.88,1,1,1,1,5
6.37,0,34,0,57.42,81995.76,3,1,1,3,6
1.83,0,22,0,70.2,64864.8,4,0,0,4,3
7.28,0,35,1,50.05,80930.85,3,1,0,8,7
7.28,0,56,1,30.36,78547.39,4,1,0,9,7
10.0,0,52,1,42.72,102630.53,3,1,0,8,10
3.64,0,58,0,25.2,61387.2,4,0,0,4,5
6.37,0,34,1,47.52,74644.42,2,1,0,7,6
9.09,0,43,1,47.88,95118.41,4,1,0,9,9
7.28,0,44,0,46.48,85895.04,2,1,0,2,7
7.28,0,56,0,37.84,88999.68,1,1,0,1,7
2.73,0,48,0,32.24,64995.84,1,0,0,1,4
6.37,0,51,1,29.89,70426.82,4,1,0,9,6
0.01,1,23,0,45.0,43470.0,3,0,0,3,1
4.55,0,40,0,37.8,63504.0,2,1,1,2,4
9.09,0,55,1,38.7,98336.7,4,1,0,9,9
8.18,0,47,1,41.34,89765.68,2,1,0,7,8
2.73,1,27,0,57.0,64638.0,4,0,0,4,4
0.92,0,22,0,58.5,54054.0,3,0,0,3,2
3.64,0,28,0,63.36,74511.36,4,0,0,4,5
4.55,0,26,1,48.1,57777.72,3,1,0,8,4
4.55,0,35,0,44.85,65929.5,2,1,1,2,4
7.28,0,46,1,38.88,82627.78,2,1,0,7,7
4.55,0,27,1,45.99,57367.93,1,1,0,6,4
6.37,0,47,1,31.8,69050.52,4,1,0,9,6
7.28,0,44,1,40.88,83100.86,4,1,0,9,7
3.64,0,40,0,40.8,68544.0,2,0,0,2,5
6.37,0,42,1,36.54,70902.22,3,1,0,8,6
3.64,0,39,0,39.65,64946.7,4,0,0,4,5
5.46,0,27,1,57.67,71937.56,3,1,0,8,5
2.73,1,22,0,57.0,52668.0,2,1,1,2,2
5.46,0,32,1,43.52,64339.97,3,1,0,8,5
3.64,1,26,0,58.0,63336.0,1,1,1,1,3
7.28,0,37,1,46.62,79692.23,3,1,0,8,7
9.09,0,47,1,45.58,98972.41,3,1,0,8,9
4.55,0,49,0,35.7,73470.6,2,0,0,2,6
6.37,0,33,1,46.23,70482.26,4,1,1,9,6
6.37,0,37,1,42.84,73230.7,4,1,1,9,6
7.28,0,58,0,34.02,82872.72,1,1,0,1,7
7.28,0,51,0,41.65,89214.3,1,1,0,1,7
6.37,0,48,1,33.28,73801.73,2,1,0,7,6
5.46,0,31,1,42.78,61269.52,4,1,1,9,5
8.18,0,56,1,33.88,87654.34,3,1,0,8,8
5.46,0,56,0,36.96,86929.92,3,0,0,3,7
4.55,1,24,0,70.0,70560.0,1,1,1,1,4
5.46,0,36,0,46.08,69672.96,2,1,1,2,5
2.73,0,23,0,53.13,51323.58,1,1,1,1,2
5.46,0,31,1,48.3,69175.26,2,1,1,7,5
6.37,0,44,1,35.28,71717.18,4,1,0,9,6
2.73,0,41,0,35.4,60958.8,1,0,0,1,4
2.73,0,32,0,47.6,63974.4,4,0,0,4,4
5.46,0,47,0,42.4,83697.6,4,0,0,4,7
6.37,0,34,1,47.52,74644.42,2,1,1,7,6
1.83,1,26,0,55.0,60060.0,1,0,0,1,3
9.09,0,53,1,37.13,90916.52,4,1,0,9,9
9.09,0,44,1,48.72,99038.02,2,1,0,7,9
3.64,0,41,0,41.3,71118.6,3,0,0,3,5
4.55,0,45,0,40.15,75883.5,4,0,0,4,6
4.55,0,53,0,35.25,78466.5,2,0,0,2,6
6.37,0,50,0,45.0,94500.0,2,0,0,2,8
8.18,0,46,1,39.42,83775.38,4,1,0,9,8
6.37,0,50,1,32.5,75075.0,1,1,0,6,6
6.37,0,36,1,43.52,72382.46,3,1,0,8,6
8.18,0,51,1,37.73,88899.43,1,1,0,6,8
8.18,0,56,1,33.88,87654.34,1,1,0,6,8
3.64,0,50,0,31.5,66150.0,2,0,0,2,5
2.73,1,24,0,56.0,56448.0,1,1,1,1,2
4.55,1,29,0,67.0,81606.0,4,0,0,4,6
2.73,0,30,0,54.6,68796.0,3,0,0,3,4
5.46,0,32,1,46.92,69366.53,1,1,1,6,5
5.46,0,48,0,45.24,91203.84,2,0,0,2,7
4.55,0,42,0,43.5,76734.0,3,0,0,3,6
6.37,0,46,1,33.48,71151.7,1,1,0,6,6
9.09,0,39,1,54.9,98918.82,1,1,1,6,9
6.37,0,27,1,63.51,79222.37,4,1,1,9,6
3.64,0,49,0,34.68,71371.44,3,0,0,3,5
5.46,0,58,0,35.7,86965.2,1,0,0,1,7
6.37,0,51,0,43.61,93412.62,4,0,0,4,8
8.18,0,49,0,44.88,92363.04,2,1,0,2,8
4.55,0,39,0,37.82,61949.16,2,1,1,2,4
4.55,0,41,0,47.2,81278.4,1,0,0,1,6
5.46,0,52,0,37.44,81768.96,4,0,0,4,7
4.55,0,43,0,46.74,84412.44,1,0,0,1,6
1.83,1,27,0,56.0,63504.0,2,0,0,2,3
3.64,0,30,0,55.3,69678.0,4,0,0,4,5
6.37,0,35,0,56.55,83128.5,1,1,1,1,6
7.28,0,29,1,63.9,85613.22,2,1,1,7,7
4.55,0,27,0,63.51,72020.34,3,1,1,3,4
3.64,0,54,0,31.74,71986.32,2,0,0,2,5
4.55,0,29,0,53.96,65723.28,1,1,1,1,4
5.46,0,42,0,50.46,89011.44,4,0,0,4,7
4.55,0,33,1,40.2,61288.92,1,1,0,6,4
1.83,1,24,0,61.0,61488.0,4,0,0,4,3
3.64,0,47,0,36.04,71142.96,1,0,0,1,5
5.46,0,35,0,50.7,74529.0,1,1,1,1,5
3.64,0,49,0,34.17,70321.86,4,0,0,4,5
2.73,0,25,0,47.25,49612.5,2,1,1,2,2
6.37,0,32,1,51.68,76403.71,3,1,1,8,6
6.37,0,30,1,58.8,81496.8,3,1,0,8,6
5.46,0,39,0,45.75,74938.5,3,1,1,3,5
5.46,0,58,0,27.3,66502.8,1,1,0,1,5
3.64,0,29,0,61.77,75235.86,2,0,0,2,5
9.09,0,45,1,48.95,101767.05,1,1,0,6,9
3.64,0,48,0,34.84,70237.44,3,0,0,3,5
4.55,0,26,1,56.24,67555.49,1,1,0,6,4
5.46,0,55,0,27.9,64449.0,3,1,0,3,5
5.46,0,41,1,36.58,69289.84,1,1,0,6,5
7.28,0,40,1,44.4,82051.2,4,1,0,9,7
4.55,0,34,0,58.74,83880.72,2,0,0,2,6
3.64,0,22,0,65.52,60540.48,3,1,1,3,3
6.37,0,55,0,33.75,77962.5,2,1,0,2,6
3.64,1,27,0,67.0,75978.0,4,0,0,4,5
0.92,1,27,0,47.0,53298.0,1,0,0,1,2
4.55,1,30,0,55.0,69300.0,3,1,1,3,4
7.28,0,42,1,42.92,83281.97,1,1,0,6,7
1.83,0,30,0,45.5,57330.0,3,0,0,3,3
10.0,0,56,1,39.6,102453.12,4,1,0,9,10
4.55,0,38,0,52.7,84109.2,1,0,0,1,6
5.46,0,42,0,47.56,83895.84,3,0,0,3,7
3.64,1,25,0,50.0,52500.0,4,1,1,4,3
4.55,0,57,0,31.82,76177.08,2,0,0,2,6
0.92,0,25,0,49.5,51975.0,3,0,0,3,2
3.64,0,27,1,43.8,54636.12,2,1,0,7,3
6.37,0,50,0,44.0,92400.0,3,0,0,3,8
6.37,0,51,0,43.61,93412.62,4,0,0,4,8
6.37,0,46,1,35.1,74594.52,2,1,0,7,6
7.28,0,50,0,39.5,82950.0,2,1,0,2,7
9.09,0,53,1,41.36,101274.1,1,1,0,6,9
3.64,0,46,0,35.64,68856.48,2,0,0,2,5
8.18,0,56,0,37.4,87964.8,4,1,0,4,8
10.0,0,53,1,41.83,102424.94,3,1,0,8,10
3.64,0,33,0,40.2,55717.2,3,1,1,3,3
9.09,0,52,1,40.32,96864.77,2,1,0,7,9
2.73,1,28,0,62.0,72912.0,1,0,0,1,4
8.18,0,36,1,56.96,94735.87,2,1,1,7,8
9.09,0,42,1,51.62,100163.45,3,1,0,8,9
8.18,0,58,0,36.12,87988.32,4,1,0,4,8
5.46,0,33,1,41.54,63331.88,2,1,0,7,5
6.37,0,52,0,42.72,93300.48,2,0,0,2,8
4.55,0,33,1,40.2,61288.92,2,1,0,7,4
10.0,0,55,1,40.5,102910.5,4,1,0,9,10
7.28,0,43,1,39.9,79265.34,2,1,0,7,7
9.09,0,49,1,40.8,92363.04,3,1,0,8,9
7.28,0,33,1,55.61,84783.01,2,1,1,7,7
2.73,0,22,0,50.7,46846.8,2,1,1,2,2
5.46,0,28,1,50.4,65197.44,2,1,0,7,5
5.46,0,42,0,49.88,87988.32,3,0,0,3,7
3.64,0,38,0,44.02,70255.92,1,0,0,1,5
4.55,1,25,0,68.0,71400.0,2,1,1,2,4
7.28,0,53,1,33.37,81709.78,1,1,0,6,7
4.55,0,58,0,31.08,75710.88,1,0,0,1,6
9.09,0,42,1,52.2,101288.88,3,1,0,8,9
4.55,0,46,0,41.58,80332.56,1,0,0,1,6
6.37,0,52,0,43.2,94348.8,4,0,0,4,8
